"Jaar","Maand","Weg/knoop","Segment","Uur","Aantal voertuigen"
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",1,398
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",2,252
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",3,197
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",4,335
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",5,1330
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",6,2386
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",7,3392
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",8,3307
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",9,2705
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",10,2678
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",11,2929
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",12,3408
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",13,3896
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",14,3835
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",15,4055
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",16,4529
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",17,4584
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",18,4146
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",19,3325
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",20,2425
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",21,2117
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",22,1702
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",23,1102
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",0,1103
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",1,635
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",2,430
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",3,407
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",4,508
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",5,1496
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",6,3508
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",7,4422
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",8,4437
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",9,4025
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",10,3990
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",11,4186
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",12,4713
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",13,4984
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",14,5081
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",15,5362
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",16,6163
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",17,6124
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",18,5250
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",19,4028
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",20,2970
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",21,2589
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",22,2395
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",23,1578
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",0,623
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",1,401
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",2,248
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",3,219
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",4,274
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",5,875
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",6,2379
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",7,3363
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",8,3559
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",9,3249
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",10,2833
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",11,2924
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",12,3271
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",13,3537
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",14,3577
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",15,3569
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",16,3413
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",17,3548
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",18,3368
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",19,2790
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",20,2030
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",21,1666
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",22,1376
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",23,983
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",0,1052
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",1,654
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",2,434
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",3,351
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",4,447
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",5,1285
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",6,2859
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",7,4868
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",8,5014
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",9,4486
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",10,4355
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",11,4727
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",12,5388
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",13,5833
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",14,6136
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",15,6586
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",16,6953
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",17,6958
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",18,6306
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",19,5000
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",20,3596
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",21,2965
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",22,2626
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",23,1724
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",0,1283
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",1,801
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",2,558
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",3,521
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",4,681
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",5,2231
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",6,4755
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",7,5598
