"Jaar","Maand","Weg/knoop","Segment","Uur","Aantal voertuigen"
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",1,113
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",2,104
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",3,137
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",4,223
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",5,518
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",6,703
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",7,597
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",8,505
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",9,731
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",10,937
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",11,978
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",12,907
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",13,882
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",14,845
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",15,752
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",16,604
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",17,520
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",18,463
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",19,398
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",20,300
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",21,207
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",22,158
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",23,134
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",0,131
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",1,109
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",2,109
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",3,143
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",4,252
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",5,563
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",6,919
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",7,687
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",8,625
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",9,839
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",10,904
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",11,986
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",12,982
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",13,990
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",14,970
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",15,931
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",16,792
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",17,640
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",18,501
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",19,470
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",20,368
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",21,260
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",22,192
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",23,146
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",0,119
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",1,118
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",2,134
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",3,171
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",4,272
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",5,554
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",6,836
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",7,590
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",8,502
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",9,779
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",10,904
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",11,935
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",12,929
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",13,925
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",14,893
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",15,807
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",16,601
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",17,546
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",18,485
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",19,422
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",20,325
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",21,221
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",22,163
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",23,125
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",0,159
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",1,169
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",2,163
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",3,211
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",4,343
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",5,690
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",6,989
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",7,824
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",8,717
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",9,1065
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",10,1277
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",11,1312
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",12,1247
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",13,1244
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",14,1222
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",15,1081
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",16,852
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",17,773
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",18,710
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",19,584
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",20,430
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",21,306
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",22,227
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",23,180
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",0,203
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",1,186
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",2,182
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",3,231
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",4,397
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",5,921
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",6,1312
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",7,922
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",8,803
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",9,1078
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",10,1210
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",11,1229
2015,1,"R1, binnenring Antwerpen (ring 1)","van Borgerhout tot Berchem richting Ring 1",12,1206
