"Jaar","Maand","Weg/knoop","Segment","Uur","Aantal voertuigen"
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",1,511
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",2,357
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",3,335
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",4,559
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",5,1849
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",6,3091
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",7,3990
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",8,3813
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",9,3437
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",10,3616
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",11,3908
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",12,4317
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",13,4779
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",14,4681
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",15,4808
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",16,5134
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",17,5105
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",18,4609
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",19,3724
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",20,2726
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",21,2325
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",22,1861
2015,1,"R1, buitenring Antwerpen (ring 2)","van Deurne tot Merksem richting Ring 2",23,1237
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",0,1236
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",1,745
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",2,540
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",3,550
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",4,761
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",5,2061
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",6,4428
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",7,5110
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",8,5062
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",9,4865
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",10,4895
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",11,5173
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",12,5696
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",13,5974
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",14,6053
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",15,6294
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",16,6955
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",17,6765
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",18,5752
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",19,4499
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",20,3339
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",21,2850
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",22,2588
2015,1,"R1, binnenring Antwerpen (ring 1)","van Deurne tot Antwerpen-Oost richting Ring 1",23,1725
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",0,743
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",1,520
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",2,383
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",3,391
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",4,547
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",5,1430
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",6,3216
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",7,3954
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",8,4061
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",9,4028
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",10,3738
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",11,3860
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",12,4201
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",13,4463
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",14,4471
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",15,4377
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",16,4015
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",17,4095
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",18,3854
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",19,3213
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",20,2357
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",21,1888
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",22,1540
2015,1,"R1, buitenring Antwerpen (ring 2)","van Linkeroever tot Antwerpen-Centrum richting Ring 2 (Kennedytunnel)",23,1109
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",0,1212
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",1,824
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",2,597
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",3,563
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",4,791
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",5,1976
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",6,3849
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",7,5692
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",8,5731
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",9,5552
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",10,5633
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",11,6039
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",12,6635
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",13,7077
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",14,7359
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",15,7668
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",16,7805
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",17,7731
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",18,7016
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",19,5585
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",20,4026
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",21,3272
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",22,2853
2015,1,"R1, buitenring Antwerpen (ring 2)","complex Borgerhout richting Ring 2",23,1904
